id,object,result_position,cid,internal_review_id,is_user_local_guide,lang,origin,place_id,place_name,published_at,published_at_datetime,pictures,place_average_score,review_link,response_from_owner,score,text,total_likes,total_reviews,user_name,user_link,user_internal_id,user_reviews_count,user_image_url,visited_in,zero_x,collected_at,input_url,input_sort_by,input_language
"8041182","result","1","12385137861630555461","ChdDSUhNMG9nS0VJQ0FnSUNOcHBEV3d3RRAB","t","en","Google","ChIJLaTZ6I_XdDERRfW6EETZ4Ks","Becamex International Hospital","3 months ago","2024-01-14 03:57:48.69164+00","https://lh5.googleusercontent.com/p/AF1QipNQJCESKXQCU5bd2Pq_qw8eAa_buL40X69F_ZiX, https://lh5.googleusercontent.com/p/AF1QipPCZbLfwnZ5dWYMyawCk8LthVunLz0M4t6DiLy_, https://lh5.googleusercontent.com/p/AF1QipPsaz5bjKo2tf406WjNLoed2b0pwk4yrVQspxMW, https://lh5.googleusercontent.com/p/AF1QipNI-tsXbMtXklIeMXmq3kN2XeLyLKLnVCWZqUZp, https://lh5.googleusercontent.com/p/AF1QipNBDs7Kq7ulIrNnyr6Po4Rc8ohArI-taMH_g_zr, https://lh5.googleusercontent.com/p/AF1QipOWnepnvSbaSIk6PtEJYdOVRFphbkpLDA_hYbxB, https://lh5.googleusercontent.com/p/AF1QipN12DhhcNYt0qdDZOxX5RtXPjmInC1NZqhjqeJf, https://lh5.googleusercontent.com/p/AF1QipNliqHQFXLzDpIPDbTTgsHGoAL_3BlDD1I1PeQt, https://lh5.googleusercontent.com/p/AF1QipP6zMI-MYAYSMshTeBeETRAdGOYYqLocGkGMJKW, https://lh5.googleusercontent.com/p/AF1QipOmUnHtZxpM9MjyCCzfpba-AkfF5iSXlkvK81oi, https://lh5.googleusercontent.com/p/AF1QipPLi9aCKg3hpNCYZL8y8TV1GpjvvgIQEnYrtMs_, https://lh5.googleusercontent.com/p/AF1QipP_eNxi-IcHWhnry558EOBf_ijhhp_LN0Xw0Evh, https://lh5.googleusercontent.com/p/AF1QipO7Ho9xxO7H3hwErnkudc6GObV1aKC1K9bic3bh, https://lh5.googleusercontent.com/p/AF1QipMs9c6jkXhGhl0HzWGU9MTCpLMZ4KTgximidNi3, https://lh5.googleusercontent.com/p/AF1QipN3ytE5yG_T5g6Cs0yJ3GlefAqq7dfbplN720Js","2.9","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNOcHBEV3d3RRAB!2m1!1s0x0:0xabe0d94410baf545!3m1!1s2@1:CIHM0ogKEICAgICNppDWwwE%7CCgwIvLeNrQYQwK3myQI%7C?hl=en","","5","January 2023 We were on holiday in Vietnam when my husband became seriously ill. The resort we were staying at A Lam organised for him to go to this hospital. He was quickly assessed with blood test and X-ray and diagnosed as having pneumonia. In a hospital bed within an hour. The doctor, Lai Quoc Thai, who is the head of the unit was exceptional. Highly competent and spoke excellent English. His team of nurses were really helpful too. What you need to know is a stay in hospital requires a carer to support the sick person so I stayed on a bed next to hubby. Reason being is the hospital doesn’t provide food or drinks. Opposite the hospital is a group of food providers which also give one somewhere to go. The hospital is very close to a very large shopping centre with a supermarket inside it. We are so grateful to the doctor and staff. We spent 5 nights there and flew back to Sydney with good information for our local doctor. Highly recommend this hospital. We also took a room at Spring hotel near hospital to do washing and for me to shower in only $27 a night and reasonable good. There are showers there but wanted a bit more privacy. Your local guide -M❤️","8","956","Inspired4me2You","https://www.google.com/maps/contrib/108205536321245901548?hl=en","108205536321245901548","145","https://lh3.googleusercontent.com/a-/ALV-UjUi-c1m4A1yObftHKRpV5osHQtgITGywSqaM_Ylf3o1x-wLpKO0=s120-c-rp-mo-ba5-br100",,"0x0:0xabe0d94410baf545","2024-05-03 10:02:12.081469+00","https://www.google.com/maps/place/Becamex+International+Hospital/@10.9040943,106.5656015,12z/data=!4m12!1m2!2m1!1zYuG7h25oIHZp4buHbiBiw6xuaCBkxrDGoW5n!3m8!1s0x3174d78fe8d9a42d:0xabe0d94410baf545!8m2!3d10.9040943!4d106.7097971!9m1!1b1!15sChti4buHbmggdmnhu4duIGLDrG5oIGTGsMahbmdaHSIbYuG7h25oIHZp4buHbiBiw6xuaCBkxrDGoW5nkgEIaG9zcGl0YWyaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUmxORGd5UW1oQlJSQULgAQA!16s%2Fg%2F11fm7f7c8k?entry=ttu","most_relevant","English (United States)"
"8041183","result","2","12385137861630555461","ChZDSUhNMG9nS0VJQ0FnSURSdlpQa0t3EAE","t","en","Google","ChIJLaTZ6I_XdDERRfW6EETZ4Ks","Becamex International Hospital","a year ago","2023-05-02 03:21:22.940555+00","","2.9","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURSdlpQa0t3EAE!2m1!1s0x0:0xabe0d94410baf545!3m1!1s2@1:CIHM0ogKEICAgIDRvZPkKw%7CCgwIsoPCogYQ-PW-wAM%7C?hl=en","","1","Worst service ever, the nurses are super rude and unprofessional, I wish I could have get their name and show it here. The nurse was so rude and not helping at all, my mom was having stomachache and backache so bad could barely walk but they didn’t allow me to get in to help my mom, and they didn’t help my mom as well. And every doctor knows that to get a better vision of an ultrasound, you should have drink more water before the ultrasound, they didn’t give my mom any water, she was freaking thirsty. My mom got medical history of kidney stones, and she been suffering from it for a long time ago, the stone is still in there but the doctor did the ultrasound said I see nothing here and the gel he put on her stomach, he didn’t give my mom anything to wipe it off until my mom asked for it, he just pointed “it’s over there”. Overal experience, I will never come back and if I have to come back, I just come to take the pictures and names of the 2 nurses that gave me bad experience. I would never recommend it to anyone, instead I will let them know how unprofessional, rude and disrespectful you are.","2","956","Vi Pham","https://www.google.com/maps/contrib/117783257405017195902?hl=en","117783257405017195902","35","https://lh3.googleusercontent.com/a-/ALV-UjUC67HHpZ51mmOf2_iy5JI8tKrnR0wb8M2gDrkmLdRzt5WHMcHE=s120-c-rp-mo-ba3-br100",,"0x0:0xabe0d94410baf545","2024-05-03 10:02:12.432574+00","https://www.google.com/maps/place/Becamex+International+Hospital/@10.9040943,106.5656015,12z/data=!4m12!1m2!2m1!1zYuG7h25oIHZp4buHbiBiw6xuaCBkxrDGoW5n!3m8!1s0x3174d78fe8d9a42d:0xabe0d94410baf545!8m2!3d10.9040943!4d106.7097971!9m1!1b1!15sChti4buHbmggdmnhu4duIGLDrG5oIGTGsMahbmdaHSIbYuG7h25oIHZp4buHbiBiw6xuaCBkxrDGoW5nkgEIaG9zcGl0YWyaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUmxORGd5UW1oQlJSQULgAQA!16s%2Fg%2F11fm7f7c8k?entry=ttu","most_relevant","English (United States)"
"8041184","result","3","12385137861630555461","ChZDSUhNMG9nS0VJQ0FnSURnclliOVpnEAE","f","en","Google","ChIJLaTZ6I_XdDERRfW6EETZ4Ks","Becamex International Hospital","5 years ago","2018-06-04 06:34:49.597+00","","2.9","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURnclliOVpnEAE!2m1!1s0x0:0xabe0d94410baf545!3m1!1s2@1:CIHM0ogKEICAgIDgrYb9Zg%7CCgwI6rvT2AUQwJfosgE%7C?hl=en","","1","This is a horrible place. If you turn up, you wait hours to see a doctor. They tell you to call first, which is reasonable, but when you call and ask for English, they repeatedly just hang up on you. When you finally do get through to them, they will give you an appointment time and simply hang up on you without getting your name or taking any of your information. This is the worst hospital service in Binh Duong.","17","956","Lauren F. Scott","https://www.google.com/maps/contrib/106853098442406239345?hl=en","106853098442406239345","7","https://lh3.googleusercontent.com/a-/ALV-UjVLN9H900YesgJS1OMIhqBiiyAFErycj2POAkhQsy0JxVdMEymPVA=s120-c-rp-mo-br100",,"0x0:0xabe0d94410baf545","2024-05-03 10:02:12.752854+00","https://www.google.com/maps/place/Becamex+International+Hospital/@10.9040943,106.5656015,12z/data=!4m12!1m2!2m1!1zYuG7h25oIHZp4buHbiBiw6xuaCBkxrDGoW5n!3m8!1s0x3174d78fe8d9a42d:0xabe0d94410baf545!8m2!3d10.9040943!4d106.7097971!9m1!1b1!15sChti4buHbmggdmnhu4duIGLDrG5oIGTGsMahbmdaHSIbYuG7h25oIHZp4buHbiBiw6xuaCBkxrDGoW5nkgEIaG9zcGl0YWyaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUmxORGd5UW1oQlJSQULgAQA!16s%2Fg%2F11fm7f7c8k?entry=ttu","most_relevant","English (United States)"
"8041185","result","4","12385137861630555461","ChdDSUhNMG9nS0VJQ0FnSUNDdExyRjdBRRAB","f","en","Google","ChIJLaTZ6I_XdDERRfW6EETZ4Ks","Becamex International Hospital","3 years ago","2020-08-13 10:36:38.64984+00","","2.9","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNDdExyRjdBRRAB!2m1!1s0x0:0xabe0d94410baf545!3m1!1s2@1:CIHM0ogKEICAgICCtLrF7AE%7CCgwItq_U-QUQgIvvtQI%7C?hl=en","","4","Excellent hospital for delivery BUT head elsewhere for child vaccinations. Clean facilities, large rooms, and friendly staff, at least when they're dealing with pregnant women. My wife's single-bed postnatal room was worth every penny. The room (~30m2 or 320ft2) had a spacious bathroom, TV, closet, sofa, desk, large bed, and an AC. However, you should head over to VNVC for your child's vaccinations. The hospital regularly ran out of vaccines. We called the customer service line several times to inquire about the next shipment of vaccines or alternative locations but the girl on the line just snapped saying she doesn't know and hung up abruptly. Definitely the daughter of a cadre or a upper-level management who isn't afraid of getting fired...","3","956","Tim M.","https://www.google.com/maps/contrib/106578738538003897566?hl=en","106578738538003897566","7","https://lh3.googleusercontent.com/a-/ALV-UjWXiDXoq0NolwZrx75PqS-ggB1-ddVLcldd7C8UICifEk9tgzvU=s120-c-rp-mo-br100",,"0x0:0xabe0d94410baf545","2024-05-03 10:02:13.029852+00","https://www.google.com/maps/place/Becamex+International+Hospital/@10.9040943,106.5656015,12z/data=!4m12!1m2!2m1!1zYuG7h25oIHZp4buHbiBiw6xuaCBkxrDGoW5n!3m8!1s0x3174d78fe8d9a42d:0xabe0d94410baf545!8m2!3d10.9040943!4d106.7097971!9m1!1b1!15sChti4buHbmggdmnhu4duIGLDrG5oIGTGsMahbmdaHSIbYuG7h25oIHZp4buHbiBiw6xuaCBkxrDGoW5nkgEIaG9zcGl0YWyaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUmxORGd5UW1oQlJSQULgAQA!16s%2Fg%2F11fm7f7c8k?entry=ttu","most_relevant","English (United States)"
"8041186","result","5","12385137861630555461","ChdDSUhNMG9nS0VJQ0FnSUNoLWNfVDVnRRAB","f","en","Google","ChIJLaTZ6I_XdDERRfW6EETZ4Ks","Becamex International Hospital","a year ago","2023-02-17 12:29:35.673084+00","","2.9","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNoLWNfVDVnRRAB!2m1!1s0x0:0xabe0d94410baf545!3m1!1s2@1:CIHM0ogKEICAgICh-c_T5gE%7CCgwIr-a9nwYQ4OT5wAI%7C?hl=en","","1","5 stars for the facility but 1 star for the superiorly bad service. Employees are trained to treat patients like trash.","4","956","Alfie Q","https://www.google.com/maps/contrib/117924651784263278769?hl=en","117924651784263278769","8","https://lh3.googleusercontent.com/a-/ALV-UjW0Pb88LYyj9zCqdStS8oWSROTynpQ6BWwz5PMpw-5vEKWg-LM=s120-c-rp-mo-br100",,"0x0:0xabe0d94410baf545","2024-05-03 10:02:13.350786+00","https://www.google.com/maps/place/Becamex+International+Hospital/@10.9040943,106.5656015,12z/data=!4m12!1m2!2m1!1zYuG7h25oIHZp4buHbiBiw6xuaCBkxrDGoW5n!3m8!1s0x3174d78fe8d9a42d:0xabe0d94410baf545!8m2!3d10.9040943!4d106.7097971!9m1!1b1!15sChti4buHbmggdmnhu4duIGLDrG5oIGTGsMahbmdaHSIbYuG7h25oIHZp4buHbiBiw6xuaCBkxrDGoW5nkgEIaG9zcGl0YWyaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUmxORGd5UW1oQlJSQULgAQA!16s%2Fg%2F11fm7f7c8k?entry=ttu","most_relevant","English (United States)"
"8041187","result","6","12385137861630555461","ChdDSUhNMG9nS0VJQ0FnSUNSaGJtX3NnRRAB","f","en","Google","ChIJLaTZ6I_XdDERRfW6EETZ4Ks","Becamex International Hospital","a year ago","2023-04-06 09:38:24.51815+00","","2.9","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNSaGJtX3NnRRAB!2m1!1s0x0:0xabe0d94410baf545!3m1!1s2@1:CIHM0ogKEICAgICRhbm_sgE%7CCgwIkKa6oQYQ8K6J9wE%7C?hl=en","","2","Massive international hospital in a megacity: no non-emergency services at all after 3pm. Lol. Good luck if you work until after 3pm","2","956","David Prendergast","https://www.google.com/maps/contrib/103954853145449183069?hl=en","103954853145449183069","13","https://lh3.googleusercontent.com/a/ACg8ocKLh_L0w1nqmW44ALKwZ-LANL9zPFr1k6FywVfkAXy_piheVQ=s120-c-rp-mo-br100",,"0x0:0xabe0d94410baf545","2024-05-03 10:02:13.637338+00","https://www.google.com/maps/place/Becamex+International+Hospital/@10.9040943,106.5656015,12z/data=!4m12!1m2!2m1!1zYuG7h25oIHZp4buHbiBiw6xuaCBkxrDGoW5n!3m8!1s0x3174d78fe8d9a42d:0xabe0d94410baf545!8m2!3d10.9040943!4d106.7097971!9m1!1b1!15sChti4buHbmggdmnhu4duIGLDrG5oIGTGsMahbmdaHSIbYuG7h25oIHZp4buHbiBiw6xuaCBkxrDGoW5nkgEIaG9zcGl0YWyaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUmxORGd5UW1oQlJSQULgAQA!16s%2Fg%2F11fm7f7c8k?entry=ttu","most_relevant","English (United States)"
"8041188","result","7","12385137861630555461","ChdDSUhNMG9nS0VJQ0FnSUNBbW9mVDVnRRAB","t","en","Google","ChIJLaTZ6I_XdDERRfW6EETZ4Ks","Becamex International Hospital","8 years ago","2016-04-29 06:46:31.114+00","","2.9","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNBbW9mVDVnRRAB!2m1!1s0x0:0xabe0d94410baf545!3m1!1s2@1:CIHM0ogKEICAgICAmofT5gE%7CCgsIx4aMuQUQgIGuNg%7C?hl=en","","5","Becamex International Hospital is a 1,200-bed general care hospital located in Lai Thieu Ward, Thuan An District, Binh Duong Province. We are committed to proudly care for the community’s health, and we offer a high quality of medical services and specialist care to the community in Binh Duong and local areas.","2","956","Khuyen Vu","https://www.google.com/maps/contrib/108072114507499114247?hl=en","108072114507499114247","6","https://lh3.googleusercontent.com/a-/ALV-UjU3dBcxkB0IwqnxygYJYrkxROMT0GJBrjfciyR30gIfdrTWV-VP=s120-c-rp-mo-ba2-br100",,"0x0:0xabe0d94410baf545","2024-05-03 10:02:13.9334+00","https://www.google.com/maps/place/Becamex+International+Hospital/@10.9040943,106.5656015,12z/data=!4m12!1m2!2m1!1zYuG7h25oIHZp4buHbiBiw6xuaCBkxrDGoW5n!3m8!1s0x3174d78fe8d9a42d:0xabe0d94410baf545!8m2!3d10.9040943!4d106.7097971!9m1!1b1!15sChti4buHbmggdmnhu4duIGLDrG5oIGTGsMahbmdaHSIbYuG7h25oIHZp4buHbiBiw6xuaCBkxrDGoW5nkgEIaG9zcGl0YWyaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUmxORGd5UW1oQlJSQULgAQA!16s%2Fg%2F11fm7f7c8k?entry=ttu","most_relevant","English (United States)"
"8041189","result","8","12385137861630555461","ChdDSUhNMG9nS0VJQ0FnSUNRbWFyOF9RRRAB","t","en","Google","ChIJLaTZ6I_XdDERRfW6EETZ4Ks","Becamex International Hospital","7 years ago","2017-04-14 06:58:27.519+00","","2.9","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNRbWFyOF9RRRAB!2m1!1s0x0:0xabe0d94410baf545!3m1!1s2@1:CIHM0ogKEICAgICQmar8_QE%7CCgwIk-bBxwUQwJ-99wE%7C?hl=en","","3","They dont allow health report forms from companies or other institutes. I was extremely dissapointed of their inflexibility. However, the guy in Call Center was nice even when I complained emotionally.","3","956","Student Alex","https://www.google.com/maps/contrib/110599557809974703114?hl=en","110599557809974703114","15","https://lh3.googleusercontent.com/a-/ALV-UjWL6L_4VFqQLhsI0nN2fAHz8-JixZtwJvXc-bfGrtcejOfXzbb4=s120-c-rp-mo-ba3-br100",,"0x0:0xabe0d94410baf545","2024-05-03 10:02:14.216061+00","https://www.google.com/maps/place/Becamex+International+Hospital/@10.9040943,106.5656015,12z/data=!4m12!1m2!2m1!1zYuG7h25oIHZp4buHbiBiw6xuaCBkxrDGoW5n!3m8!1s0x3174d78fe8d9a42d:0xabe0d94410baf545!8m2!3d10.9040943!4d106.7097971!9m1!1b1!15sChti4buHbmggdmnhu4duIGLDrG5oIGTGsMahbmdaHSIbYuG7h25oIHZp4buHbiBiw6xuaCBkxrDGoW5nkgEIaG9zcGl0YWyaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUmxORGd5UW1oQlJSQULgAQA!16s%2Fg%2F11fm7f7c8k?entry=ttu","most_relevant","English (United States)"
"8041190","result","9","12385137861630555461","ChZDSUhNMG9nS0VJQ0FnSUNvNEtfU1l3EAE","t","en","Google","ChIJLaTZ6I_XdDERRfW6EETZ4Ks","Becamex International Hospital","5 years ago","2019-01-31 15:47:23.666834+00","","2.9","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNvNEtfU1l3EAE!2m1!1s0x0:0xabe0d94410baf545!3m1!1s2@1:CIHM0ogKEICAgICo4K_SYw%7CCgwIi7HM4gUQ-Kz8vQI%7C?hl=en","","5","Convenient service & affordable price, if you have plan, you should call to reserve the time.","1","956","mến trịnh","https://www.google.com/maps/contrib/102303196792163821294?hl=en","102303196792163821294","14","https://lh3.googleusercontent.com/a-/ALV-UjXwTw_bmvEf7sER8prCLpnHP_HjV0yeGVOMc2TMdjYC3HBz28M=s120-c-rp-mo-ba3-br100",,"0x0:0xabe0d94410baf545","2024-05-03 10:02:14.492885+00","https://www.google.com/maps/place/Becamex+International+Hospital/@10.9040943,106.5656015,12z/data=!4m12!1m2!2m1!1zYuG7h25oIHZp4buHbiBiw6xuaCBkxrDGoW5n!3m8!1s0x3174d78fe8d9a42d:0xabe0d94410baf545!8m2!3d10.9040943!4d106.7097971!9m1!1b1!15sChti4buHbmggdmnhu4duIGLDrG5oIGTGsMahbmdaHSIbYuG7h25oIHZp4buHbiBiw6xuaCBkxrDGoW5nkgEIaG9zcGl0YWyaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUmxORGd5UW1oQlJSQULgAQA!16s%2Fg%2F11fm7f7c8k?entry=ttu","most_relevant","English (United States)"
"8041191","result","10","12385137861630555461","ChZDSUhNMG9nS0VJQ0FnSURSOUpqckxnEAE","f","en","Google","ChIJLaTZ6I_XdDERRfW6EETZ4Ks","Becamex International Hospital","a year ago","2023-04-19 02:41:23.844199+00","","2.9","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURSOUpqckxnEAE!2m1!1s0x0:0xabe0d94410baf545!3m1!1s2@1:CIHM0ogKEICAgIDR9JjrLg%7CCgwI86n9oQYQ2Ni5_wE%7C?hl=en","","1","The worst reservation I have ever known.","2","956","Ann Fan","https://www.google.com/maps/contrib/116839479785190473157?hl=en","116839479785190473157","2","https://lh3.googleusercontent.com/a-/ALV-UjWdB1Xgzgp8_PsjdosSWPIKMo91bwg4LIGAmwTp9XL6jG4TmQje=s120-c-rp-mo-br100",,"0x0:0xabe0d94410baf545","2024-05-03 10:02:14.752761+00","https://www.google.com/maps/place/Becamex+International+Hospital/@10.9040943,106.5656015,12z/data=!4m12!1m2!2m1!1zYuG7h25oIHZp4buHbiBiw6xuaCBkxrDGoW5n!3m8!1s0x3174d78fe8d9a42d:0xabe0d94410baf545!8m2!3d10.9040943!4d106.7097971!9m1!1b1!15sChti4buHbmggdmnhu4duIGLDrG5oIGTGsMahbmdaHSIbYuG7h25oIHZp4buHbiBiw6xuaCBkxrDGoW5nkgEIaG9zcGl0YWyaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUmxORGd5UW1oQlJSQULgAQA!16s%2Fg%2F11fm7f7c8k?entry=ttu","most_relevant","English (United States)"
