id,object,result_position,cid,internal_review_id,is_user_local_guide,lang,origin,place_id,place_name,published_at,published_at_datetime,pictures,place_average_score,review_link,response_from_owner,score,text,total_likes,total_reviews,user_name,user_link,user_internal_id,user_reviews_count,user_image_url,visited_in,zero_x,collected_at,input_url,input_sort_by,input_language
"8041805","result","1","17529866946907737221","ChdDSUhNMG9nS0VJQ0FnSURwNF91OWtRRRAB","f","en","Google","ChIJs6ucJwvMdDERhQxMahyZRvM","My Phuoc Hospital","8 months ago","2023-08-28 10:55:02.045505+00","","3.3","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURwNF91OWtRRRAB!2m1!1s0x0:0xf346991c6a4c0c85!3m1!1s2@1:CIHM0ogKEICAgIDp4_u9kQE%7CCgsIhvqxpwYQ6LPZFQ%7C?hl=en","Cảm ơn bạn đã đến chăm sóc sức khoẻ tại MPH. Để cập nhật thông tin dịch vụ y tế, bạn vui lòng theo dõi fanpage chính thức của Bệnh viện: https://www.facebook.com/benhvienmyphuoc/ Chúc bạn thật nhiều sức khoẻ và hạnh phúc.","5","Ok ok","0","528","hoang diep","https://www.google.com/maps/contrib/107840998818469131092?hl=en","107840998818469131092","12","https://lh3.googleusercontent.com/a-/ALV-UjUepGzpaUjtklihz-8TFUGGtqYEsXzBSfD9-CI4EmwDDYx6XIE=s120-c-rp-mo-br100",,"0x0:0xf346991c6a4c0c85","2024-05-03 10:08:32.150279+00","https://www.google.com/maps/place/My+Phuoc+Hospital/@11.1405019,106.4627145,12z/data=!4m12!1m2!2m1!1zYuG7h25oIHZp4buHbiBiw6xuaCBkxrDGoW5n!3m8!1s0x3174cc0b279cabb3:0xf346991c6a4c0c85!8m2!3d11.1405019!4d106.6069101!9m1!1b1!15sChti4buHbmggdmnhu4duIGLDrG5oIGTGsMahbmdaHSIbYuG7h25oIHZp4buHbiBiw6xuaCBkxrDGoW5nkgEQZ2VuZXJhbF9ob3NwaXRhbJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VRNWJrd3RiWEYzUlJBQuABAA!16s%2Fg%2F11h1v4d9r?entry=ttu","most_relevant","English (United States)"
"8041806","result","2","17529866946907737221","ChZDSUhNMG9nS0VJQ0FnSURRemZ5T1NnEAE","t","en","Google","ChIJs6ucJwvMdDERhQxMahyZRvM","My Phuoc Hospital","4 years ago","2017-10-02 07:13:42.515+00","","3.3","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURRemZ5T1NnEAE!2m1!1s0x0:0xf346991c6a4c0c85!3m1!1s2@1:CIHM0ogKEICAgIDQzfyOSg%7CCgsIg67i7wUQuNzHNA%7C?hl=en","","4","Good !","1","528","Hậu Huỳnh","https://www.google.com/maps/contrib/103189974589318954681?hl=en","103189974589318954681","19","https://lh3.googleusercontent.com/a/ACg8ocIxgx1gWnEQhXvmYemj0BwC0FnR_cJGMXwwjv-ME9laMOfspw=s120-c-rp-mo-ba3-br100",,"0x0:0xf346991c6a4c0c85","2024-05-03 10:08:32.494024+00","https://www.google.com/maps/place/My+Phuoc+Hospital/@11.1405019,106.4627145,12z/data=!4m12!1m2!2m1!1zYuG7h25oIHZp4buHbiBiw6xuaCBkxrDGoW5n!3m8!1s0x3174cc0b279cabb3:0xf346991c6a4c0c85!8m2!3d11.1405019!4d106.6069101!9m1!1b1!15sChti4buHbmggdmnhu4duIGLDrG5oIGTGsMahbmdaHSIbYuG7h25oIHZp4buHbiBiw6xuaCBkxrDGoW5nkgEQZ2VuZXJhbF9ob3NwaXRhbJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VRNWJrd3RiWEYzUlJBQuABAA!16s%2Fg%2F11h1v4d9r?entry=ttu","most_relevant","English (United States)"
"8041807","result","3","17529866946907737221","ChZDSUhNMG9nS0VJQ0FnSURJZy1pdE5nEAE","f","en","Google","ChIJs6ucJwvMdDERhQxMahyZRvM","My Phuoc Hospital","5 years ago","2019-01-18 11:34:45.516847+00","","3.3","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURJZy1pdE5nEAE!2m1!1s0x0:0xf346991c6a4c0c85!3m1!1s2@1:CIHM0ogKEICAgIDIg-itNg%7CCgsIkM6V5AUQ2Nvcdg%7C?hl=en","","3","I.","1","528","nhìn Gì","https://www.google.com/maps/contrib/101768209746982969861?hl=en","101768209746982969861","2","https://lh3.googleusercontent.com/a-/ALV-UjXaEyqeYEEOPg1VbDTijeRR3UzuJU6rnCR6l2CWLBlUuqo7jYyF=s120-c-rp-mo-br100",,"0x0:0xf346991c6a4c0c85","2024-05-03 10:08:32.763035+00","https://www.google.com/maps/place/My+Phuoc+Hospital/@11.1405019,106.4627145,12z/data=!4m12!1m2!2m1!1zYuG7h25oIHZp4buHbiBiw6xuaCBkxrDGoW5n!3m8!1s0x3174cc0b279cabb3:0xf346991c6a4c0c85!8m2!3d11.1405019!4d106.6069101!9m1!1b1!15sChti4buHbmggdmnhu4duIGLDrG5oIGTGsMahbmdaHSIbYuG7h25oIHZp4buHbiBiw6xuaCBkxrDGoW5nkgEQZ2VuZXJhbF9ob3NwaXRhbJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VRNWJrd3RiWEYzUlJBQuABAA!16s%2Fg%2F11h1v4d9r?entry=ttu","most_relevant","English (United States)"
"8041808","result","4","17529866946907737221","ChZDSUhNMG9nS0VJQ0FnSURBcHFDMWZBEAE","t","en","Google","ChIJs6ucJwvMdDERhQxMahyZRvM","My Phuoc Hospital","4 years ago","2016-06-18 06:15:18.353+00","https://lh5.googleusercontent.com/p/AF1QipM9mNVcAa1hXi2u-Fq4Lvx7AGiN1bqNme6c8yvJ","3.3","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURBcHFDMWZBEAE!2m1!1s0x0:0xf346991c6a4c0c85!3m1!1s2@1:CIHM0ogKEICAgIDApqC1fA%7CCgsIuvDd5gUQ0LXPGQ%7C?hl=en","","3","Ok","1","528","Ngô Đình Hiếu (HY-77)","https://www.google.com/maps/contrib/113045410327954847820?hl=en","113045410327954847820","369","https://lh3.googleusercontent.com/a-/ALV-UjXaHZM9IvG7-oGZW-W2EhSKZOV1aVme5TVIWsRjN8FDJsC7L-HCDA=s120-c-rp-mo-ba5-br100",,"0x0:0xf346991c6a4c0c85","2024-05-03 10:08:33.011219+00","https://www.google.com/maps/place/My+Phuoc+Hospital/@11.1405019,106.4627145,12z/data=!4m12!1m2!2m1!1zYuG7h25oIHZp4buHbiBiw6xuaCBkxrDGoW5n!3m8!1s0x3174cc0b279cabb3:0xf346991c6a4c0c85!8m2!3d11.1405019!4d106.6069101!9m1!1b1!15sChti4buHbmggdmnhu4duIGLDrG5oIGTGsMahbmdaHSIbYuG7h25oIHZp4buHbiBiw6xuaCBkxrDGoW5nkgEQZ2VuZXJhbF9ob3NwaXRhbJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VRNWJrd3RiWEYzUlJBQuABAA!16s%2Fg%2F11h1v4d9r?entry=ttu","most_relevant","English (United States)"
"8041809","result","5","17529866946907737221","ChdDSUhNMG9nS0VJQ0FnSURneUlPRGxBRRAB","t","en","Google","ChIJs6ucJwvMdDERhQxMahyZRvM","My Phuoc Hospital","5 years ago","2018-07-24 18:47:48.076+00","","3.3","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURneUlPRGxBRRAB!2m1!1s0x0:0xf346991c6a4c0c85!3m1!1s2@1:CIHM0ogKEICAgIDgyIODlAE%7CCgwI3Ojd2gUQgLD1oQI%7C?hl=en","","3","Normal","1","528","Nam Hoàng","https://www.google.com/maps/contrib/102251816644682450157?hl=en","102251816644682450157","92","https://lh3.googleusercontent.com/a-/ALV-UjUy7kmINsOMUbLrxxiTK6Juu-zkmaQQ3qGVEKiyXcl3_zLLnJyQ=s120-c-rp-mo-ba4-br100",,"0x0:0xf346991c6a4c0c85","2024-05-03 10:08:33.345561+00","https://www.google.com/maps/place/My+Phuoc+Hospital/@11.1405019,106.4627145,12z/data=!4m12!1m2!2m1!1zYuG7h25oIHZp4buHbiBiw6xuaCBkxrDGoW5n!3m8!1s0x3174cc0b279cabb3:0xf346991c6a4c0c85!8m2!3d11.1405019!4d106.6069101!9m1!1b1!15sChti4buHbmggdmnhu4duIGLDrG5oIGTGsMahbmdaHSIbYuG7h25oIHZp4buHbiBiw6xuaCBkxrDGoW5nkgEQZ2VuZXJhbF9ob3NwaXRhbJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VRNWJrd3RiWEYzUlJBQuABAA!16s%2Fg%2F11h1v4d9r?entry=ttu","most_relevant","English (United States)"
"8041810","result","6","17529866946907737221","ChdDSUhNMG9nS0VJQ0FnSUNRZ3ZIamdRRRAB","f","en","Google","ChIJs6ucJwvMdDERhQxMahyZRvM","My Phuoc Hospital","7 years ago","2016-08-24 09:10:50.075+00","","3.3","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNRZ3ZIamdRRRAB!2m1!1s0x0:0xf346991c6a4c0c85!3m1!1s2@1:CIHM0ogKEICAgICQgvHjgQE%7CCgwIyMn1vQUQwMv6vwI%7C?hl=en","","3","Good infrastructure.","1","528","Josh L","https://www.google.com/maps/contrib/109801892909528399433?hl=en","109801892909528399433","9","https://lh3.googleusercontent.com/a/ACg8ocKH4L195bMR6qZAbx5TTf7RwIiH92f0phuk-zjeOOHdYhQwwA=s120-c-rp-mo-br100",,"0x0:0xf346991c6a4c0c85","2024-05-03 10:08:33.617964+00","https://www.google.com/maps/place/My+Phuoc+Hospital/@11.1405019,106.4627145,12z/data=!4m12!1m2!2m1!1zYuG7h25oIHZp4buHbiBiw6xuaCBkxrDGoW5n!3m8!1s0x3174cc0b279cabb3:0xf346991c6a4c0c85!8m2!3d11.1405019!4d106.6069101!9m1!1b1!15sChti4buHbmggdmnhu4duIGLDrG5oIGTGsMahbmdaHSIbYuG7h25oIHZp4buHbiBiw6xuaCBkxrDGoW5nkgEQZ2VuZXJhbF9ob3NwaXRhbJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VRNWJrd3RiWEYzUlJBQuABAA!16s%2Fg%2F11h1v4d9r?entry=ttu","most_relevant","English (United States)"
"8041811","result","7","17529866946907737221","ChdDSUhNMG9nS0VJQ0FnSURvNDhQSXFRRRAB","t","en","Google","ChIJs6ucJwvMdDERhQxMahyZRvM","My Phuoc Hospital","5 years ago","2019-03-20 10:30:55.113888+00","","3.3","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURvNDhQSXFRRRAB!2m1!1s0x0:0xf346991c6a4c0c85!3m1!1s2@1:CIHM0ogKEICAgIDo48PIqQE%7CCgwI6qzI5AUQwIGxqwE%7C?hl=en","","4","The hospital","1","528","Minhductzuong Kimhoo","https://www.google.com/maps/contrib/101790224955174653312?hl=en","101790224955174653312","115","https://lh3.googleusercontent.com/a/ACg8ocKME9FH6UHdCHigL7MEQU7nxync04botqwHDp8LtymBXq71aw=s120-c-rp-mo-ba4-br100",,"0x0:0xf346991c6a4c0c85","2024-05-03 10:08:33.875825+00","https://www.google.com/maps/place/My+Phuoc+Hospital/@11.1405019,106.4627145,12z/data=!4m12!1m2!2m1!1zYuG7h25oIHZp4buHbiBiw6xuaCBkxrDGoW5n!3m8!1s0x3174cc0b279cabb3:0xf346991c6a4c0c85!8m2!3d11.1405019!4d106.6069101!9m1!1b1!15sChti4buHbmggdmnhu4duIGLDrG5oIGTGsMahbmdaHSIbYuG7h25oIHZp4buHbiBiw6xuaCBkxrDGoW5nkgEQZ2VuZXJhbF9ob3NwaXRhbJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VRNWJrd3RiWEYzUlJBQuABAA!16s%2Fg%2F11h1v4d9r?entry=ttu","most_relevant","English (United States)"
"8041812","result","8","17529866946907737221","ChdDSUhNMG9nS0VJQ0FnSUN3dHZYbnVRRRAB","t","en","Google","ChIJs6ucJwvMdDERhQxMahyZRvM","My Phuoc Hospital","7 years ago","2016-09-17 09:29:39.762+00","","3.3","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUN3dHZYbnVRRRAB!2m1!1s0x0:0xf346991c6a4c0c85!3m1!1s2@1:CIHM0ogKEICAgICwtvXnuQE%7CCgsIipr0vgUQgJX1Kg%7C?hl=en","","5","Good.","1","528","Duy Nguyễn","https://www.google.com/maps/contrib/102902394204235460258?hl=en","102902394204235460258","123","https://lh3.googleusercontent.com/a/ACg8ocLwTGPTGyJ7_D48XUJ6s_r5Wlg34rWr9zZxejFM5XxAfwOD8Q=s120-c-rp-mo-ba4-br100",,"0x0:0xf346991c6a4c0c85","2024-05-03 10:08:34.181068+00","https://www.google.com/maps/place/My+Phuoc+Hospital/@11.1405019,106.4627145,12z/data=!4m12!1m2!2m1!1zYuG7h25oIHZp4buHbiBiw6xuaCBkxrDGoW5n!3m8!1s0x3174cc0b279cabb3:0xf346991c6a4c0c85!8m2!3d11.1405019!4d106.6069101!9m1!1b1!15sChti4buHbmggdmnhu4duIGLDrG5oIGTGsMahbmdaHSIbYuG7h25oIHZp4buHbiBiw6xuaCBkxrDGoW5nkgEQZ2VuZXJhbF9ob3NwaXRhbJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VRNWJrd3RiWEYzUlJBQuABAA!16s%2Fg%2F11h1v4d9r?entry=ttu","most_relevant","English (United States)"
"8041813","result","9","17529866946907737221","ChZDSUhNMG9nS0VJQ0FnSUR0amRlc0tBEAE","f","vi","Google","ChIJs6ucJwvMdDERhQxMahyZRvM","My Phuoc Hospital","2 months ago","2024-02-06 06:34:14.252052+00","https://lh5.googleusercontent.com/p/AF1QipPtJsvpR4jf_BR6CSkuELAMbjTjjRpadZOzDWLt","3.3","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUR0amRlc0tBEAE!2m1!1s0x0:0xf346991c6a4c0c85!3m1!1s2@1:CIHM0ogKEICAgIDtjdesKA%7CCgsI5qWHrgYQoISYeA%7C?hl=en","Chào bạn, rất xin lỗi vì trải nghiệm chưa tốt bạn gặp phải. Bạn vui lòng cung cấp thêm thông tin người bệnh, thời gian khám vào tin nhắn hoặc Hotline 0888 015 777 để bệnh viện kiểm tra lại và nếu có, bệnh viện sẽ có biện pháp chấn chỉnh lại nhân viên ạ. Cảm ơn bạn, chúc bạn luôn khỏe mạnh !","1","What kind of business does Bv do? Whoever gets examined first comes in first here Register in advance and wait for a few hours for your turn. Check out number 11 at 10. Someone else will come in after number 12. If number 11 hasn't been checked yet, check out number 12 first. People also have to spend money to go to the doctor, but it's not free to make a living. They take advantage of the medical check-up to go home and have young children, but they still do things like that.","3","528","Sen Đóa","https://www.google.com/maps/contrib/103337929101434462306?hl=en","103337929101434462306","1","https://lh3.googleusercontent.com/a-/ALV-UjW9Y4Ki0SWoUhS-9MRfB-CY6KILcXeNis3BQowvxVZ9lJCGOmjc=s120-c-rp-mo-br100",,"0x0:0xf346991c6a4c0c85","2024-05-03 10:08:34.48883+00","https://www.google.com/maps/place/My+Phuoc+Hospital/@11.1405019,106.4627145,12z/data=!4m12!1m2!2m1!1zYuG7h25oIHZp4buHbiBiw6xuaCBkxrDGoW5n!3m8!1s0x3174cc0b279cabb3:0xf346991c6a4c0c85!8m2!3d11.1405019!4d106.6069101!9m1!1b1!15sChti4buHbmggdmnhu4duIGLDrG5oIGTGsMahbmdaHSIbYuG7h25oIHZp4buHbiBiw6xuaCBkxrDGoW5nkgEQZ2VuZXJhbF9ob3NwaXRhbJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VRNWJrd3RiWEYzUlJBQuABAA!16s%2Fg%2F11h1v4d9r?entry=ttu","most_relevant","English (United States)"
"8041814","result","10","17529866946907737221","ChZDSUhNMG9nS0VJQ0FnSUNEdTVHbFNREAE","f","vi","Google","ChIJs6ucJwvMdDERhQxMahyZRvM","My Phuoc Hospital","a month ago","2024-04-02 06:10:50.667352+00","","3.3","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNEdTVHbFNREAE!2m1!1s0x0:0xf346991c6a4c0c85!3m1!1s2@1:CIHM0ogKEICAgICDu5GlSQ%7CCgwIi8SusAYQoJmL9AI%7C?hl=en","Chào bạn, rất xin lỗi vì trải nghiệm chưa tốt bạn gặp phải. Bạn vui lòng cung cấp thêm thông tin người bệnh, thời gian khám vào tin nhắn hoặc Hotline 0888 015 777 để bệnh viện kiểm tra lại và nếu có, bệnh viện sẽ có biện pháp chấn chỉnh lại nhân viên ạ. Cảm ơn bạn, chúc bạn luôn khỏe mạnh !","1","Private hospital where doctors and nurses work hard and carelessly. Before, I broke my arm and had to stay in the hospital for nearly a month, but after the surgery, the team of doctors and nurses took care of me very poorly and unprofessionally. Because I accidentally signed up for health insurance here to be closer to home, but every time I go for a stomach endoscopy or a medical examination, the doctor is very angry and harsh with the patient, and his work is careless and pretentious. I spent money to buy it, but it was like I was asking for it from them. I advise everyone to consider medical examination and treatment here because I find the money spent is not worth the service here.","1","528","Hoàng Thị Cát Tường","https://www.google.com/maps/contrib/111982343231076249183?hl=en","111982343231076249183","3","https://lh3.googleusercontent.com/a-/ALV-UjWrMZnSoG8HFccL8aH15n1RftzVvJJ6q6toOJQi-r_kmVBIQLTk=s120-c-rp-mo-br100",,"0x0:0xf346991c6a4c0c85","2024-05-03 10:08:34.814389+00","https://www.google.com/maps/place/My+Phuoc+Hospital/@11.1405019,106.4627145,12z/data=!4m12!1m2!2m1!1zYuG7h25oIHZp4buHbiBiw6xuaCBkxrDGoW5n!3m8!1s0x3174cc0b279cabb3:0xf346991c6a4c0c85!8m2!3d11.1405019!4d106.6069101!9m1!1b1!15sChti4buHbmggdmnhu4duIGLDrG5oIGTGsMahbmdaHSIbYuG7h25oIHZp4buHbiBiw6xuaCBkxrDGoW5nkgEQZ2VuZXJhbF9ob3NwaXRhbJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VRNWJrd3RiWEYzUlJBQuABAA!16s%2Fg%2F11h1v4d9r?entry=ttu","most_relevant","English (United States)"
