id,object,result_position,cid,internal_review_id,is_user_local_guide,lang,origin,place_id,place_name,published_at,published_at_datetime,pictures,place_average_score,review_link,response_from_owner,score,text,total_likes,total_reviews,user_name,user_link,user_internal_id,user_reviews_count,user_image_url,visited_in,zero_x,collected_at,input_url,input_sort_by,input_language
8070654,result,1,12316463091562504880,ChZDSUhNMG9nS0VJQ0FnSURkb05lR2ZREAE,t,en,Google,ChIJh-gdr3DRdDERsOLKJe3d7Ko,Van Phuc Hospital,2 months ago,2024-02-20 05:46:21.463404+00,https://lh5.googleusercontent.com/p/AF1QipMGXCZXW2qh93axU2i9bESLxlvJayKU8ne5B8zO,2.9,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURkb05lR2ZREAE!2m1!1s0x0:0xaaecdded25cae2b0!3m1!1s2@1:CIHM0ogKEICAgIDdoNeGfQ%7CCgwIrfnQrgYQ4Pf73AE%7C?hl=en,,4,Good service,0,287,TÂM LÊ KHẮC MINH,https://www.google.com/maps/contrib/114674318463728846416?hl=en,114674318463728846416,104,https://lh3.googleusercontent.com/a-/ALV-UjUoJun3Mic2xRR_aNT7A4HbFSoEEPiOvbslJhCdEcqeSM6R9zsf=s120-c-rp-mo-ba4-br100,,0x0:0xaaecdded25cae2b0,2024-05-06 06:30:48.451675+00,"https://www.google.com/maps/place/Van+Phuc+Hospital/@11.0042176,106.6227598,15z/data=!4m12!1m2!2m1!1zYuG7h25oIHZp4buHbiBiw6xuaCBkxrDGoW5n!3m8!1s0x3174d170af1de887:0xaaecdded25cae2b0!8m2!3d11.0042176!4d106.6418142!9m1!1b1!15sChti4buHbmggdmnhu4duIGLDrG5oIGTGsMahbmeSARBnZW5lcmFsX2hvc3BpdGFs4AEA!16s%2Fg%2F12lrbkxz0?entry=ttu",most_relevant,English (United States)
8070658,result,2,12316463091562504880,ChZDSUhNMG9nS0VJQ0FnSUNjcVpHcEFnEAE,t,en,Google,ChIJh-gdr3DRdDERsOLKJe3d7Ko,Van Phuc Hospital,4 years ago,2020-03-15 01:09:38.23056+00,"https://lh5.googleusercontent.com/p/AF1QipM2M-6dWvFlOCbG1x8WQElt4ySUdoRZvyKwT-8z, https://lh5.googleusercontent.com/p/AF1QipOGzHpwPK3izJkDJZgb_yGw9j-maZZRTW7qXxI5, https://lh5.googleusercontent.com/p/AF1QipOFXFPS4FoEhWfGD3wTu-xbPC4Cdm-MDAi2Kqr7, https://lh5.googleusercontent.com/p/AF1QipNtJYs5ictWZLJLhE_erFeA_g5nsww0He5zvuw8",2.9,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNjcVpHcEFnEAE!2m1!1s0x0:0xaaecdded25cae2b0!3m1!1s2@1:CIHM0ogKEICAgICcqZGpAg%7CCgsI0oC28wUQgKL4bQ%7C?hl=en,,2,Ok,0,287,Ngô Đình Hiếu (HY-77),https://www.google.com/maps/contrib/113045410327954847820?hl=en,113045410327954847820,368,https://lh3.googleusercontent.com/a-/ALV-UjXaHZM9IvG7-oGZW-W2EhSKZOV1aVme5TVIWsRjN8FDJsC7L-HCDA=s120-c-rp-mo-ba5-br100,,0x0:0xaaecdded25cae2b0,2024-05-06 06:30:49.40103+00,"https://www.google.com/maps/place/Van+Phuc+Hospital/@11.0042176,106.6227598,15z/data=!4m12!1m2!2m1!1zYuG7h25oIHZp4buHbiBiw6xuaCBkxrDGoW5n!3m8!1s0x3174d170af1de887:0xaaecdded25cae2b0!8m2!3d11.0042176!4d106.6418142!9m1!1b1!15sChti4buHbmggdmnhu4duIGLDrG5oIGTGsMahbmeSARBnZW5lcmFsX2hvc3BpdGFs4AEA!16s%2Fg%2F12lrbkxz0?entry=ttu",most_relevant,English (United States)
8070661,result,3,12316463091562504880,ChZDSUhNMG9nS0VJQ0FnSURPb3BqNFVREAE,t,en,Google,ChIJh-gdr3DRdDERsOLKJe3d7Ko,Van Phuc Hospital,a year ago,2022-07-01 01:17:25.987088+00,,2.9,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURPb3BqNFVREAE!2m1!1s0x0:0xaaecdded25cae2b0!3m1!1s2@1:CIHM0ogKEICAgIDOopj4UQ%7CCgwIpZb5lQYQgInX1gM%7C?hl=en,,4,Good,0,287,Dương Ánh (Sunshine Nguyen),https://www.google.com/maps/contrib/108809542029757342243?hl=en,108809542029757342243,45,https://lh3.googleusercontent.com/a-/ALV-UjWnyOGqt9rAE7eDj4tJEvQSR8iewUuWQQUmwkXwsy9ptMY_uMOV=s120-c-rp-mo-ba5-br100,,0x0:0xaaecdded25cae2b0,2024-05-06 06:30:50.061583+00,"https://www.google.com/maps/place/Van+Phuc+Hospital/@11.0042176,106.6227598,15z/data=!4m12!1m2!2m1!1zYuG7h25oIHZp4buHbiBiw6xuaCBkxrDGoW5n!3m8!1s0x3174d170af1de887:0xaaecdded25cae2b0!8m2!3d11.0042176!4d106.6418142!9m1!1b1!15sChti4buHbmggdmnhu4duIGLDrG5oIGTGsMahbmeSARBnZW5lcmFsX2hvc3BpdGFs4AEA!16s%2Fg%2F12lrbkxz0?entry=ttu",most_relevant,English (United States)
8070665,result,4,12316463091562504880,ChZDSUhNMG9nS0VJQ0FnSUNBNHFTZFdBEAE,f,en,Google,ChIJh-gdr3DRdDERsOLKJe3d7Ko,Van Phuc Hospital,6 years ago,2017-06-30 15:43:58.901+00,,2.9,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNBNHFTZFdBEAE!2m1!1s0x0:0xaaecdded25cae2b0!3m1!1s2@1:CIHM0ogKEICAgICA4qSdWA%7CCgwIrP_G1gUQwIykuQI%7C?hl=en,,4,Ok!,1,287,An Phuc Thien,https://www.google.com/maps/contrib/108486594076284433192?hl=en,108486594076284433192,286,https://lh3.googleusercontent.com/a-/ALV-UjVMsaOkJT8mcSj58YuogGeJrqqHm-yCJbn1UgfAyvhC1MAENMTd-A=s120-c-rp-mo-br100,,0x0:0xaaecdded25cae2b0,2024-05-06 06:30:50.822806+00,"https://www.google.com/maps/place/Van+Phuc+Hospital/@11.0042176,106.6227598,15z/data=!4m12!1m2!2m1!1zYuG7h25oIHZp4buHbiBiw6xuaCBkxrDGoW5n!3m8!1s0x3174d170af1de887:0xaaecdded25cae2b0!8m2!3d11.0042176!4d106.6418142!9m1!1b1!15sChti4buHbmggdmnhu4duIGLDrG5oIGTGsMahbmeSARBnZW5lcmFsX2hvc3BpdGFs4AEA!16s%2Fg%2F12lrbkxz0?entry=ttu",most_relevant,English (United States)
8070670,result,5,12316463091562504880,ChZDSUhNMG9nS0VJQ0FnSURLaU9mckRnEAE,f,en,Google,ChIJh-gdr3DRdDERsOLKJe3d7Ko,Van Phuc Hospital,3 years ago,2021-04-28 00:10:46.656424+00,,2.9,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURLaU9mckRnEAE!2m1!1s0x0:0xaaecdded25cae2b0!3m1!1s2@1:CIHM0ogKEICAgIDKiOfrDg%7CCgwIhtCihAYQwPiAuQI%7C?hl=en,,4,Good,0,287,SƠN TỬ TẾ,https://www.google.com/maps/contrib/115326116374926114993?hl=en,115326116374926114993,72,https://lh3.googleusercontent.com/a-/ALV-UjWeaQyKCPn7A8shouJdbvFaf41u1macjp_K1J9tQO_ZyZMowZEy=s120-c-rp-mo-br100,,0x0:0xaaecdded25cae2b0,2024-05-06 06:30:51.558378+00,"https://www.google.com/maps/place/Van+Phuc+Hospital/@11.0042176,106.6227598,15z/data=!4m12!1m2!2m1!1zYuG7h25oIHZp4buHbiBiw6xuaCBkxrDGoW5n!3m8!1s0x3174d170af1de887:0xaaecdded25cae2b0!8m2!3d11.0042176!4d106.6418142!9m1!1b1!15sChti4buHbmggdmnhu4duIGLDrG5oIGTGsMahbmeSARBnZW5lcmFsX2hvc3BpdGFs4AEA!16s%2Fg%2F12lrbkxz0?entry=ttu",most_relevant,English (United States)
8070674,result,6,12316463091562504880,ChZDSUhNMG9nS0VJQ0FnSUNJbnR2SVJnEAE,t,en,Google,ChIJh-gdr3DRdDERsOLKJe3d7Ko,Van Phuc Hospital,5 years ago,2018-11-17 02:53:36.340849+00,,2.9,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNJbnR2SVJnEAE!2m1!1s0x0:0xaaecdded25cae2b0!3m1!1s2@1:CIHM0ogKEICAgICIntvIRg%7CCgwI1IW-3wUQwOeDrAI%7C?hl=en,,5,Ok,0,287,Giang,https://www.google.com/maps/contrib/112373109043100136378?hl=en,112373109043100136378,25,https://lh3.googleusercontent.com/a-/ALV-UjXU72J7hzAmzoYhjaxEywOuwiHXG63DTaoAAeHjByUiXOQ6jmiU=s120-c-rp-mo-ba2-br100,,0x0:0xaaecdded25cae2b0,2024-05-06 06:30:52.299862+00,"https://www.google.com/maps/place/Van+Phuc+Hospital/@11.0042176,106.6227598,15z/data=!4m12!1m2!2m1!1zYuG7h25oIHZp4buHbiBiw6xuaCBkxrDGoW5n!3m8!1s0x3174d170af1de887:0xaaecdded25cae2b0!8m2!3d11.0042176!4d106.6418142!9m1!1b1!15sChti4buHbmggdmnhu4duIGLDrG5oIGTGsMahbmeSARBnZW5lcmFsX2hvc3BpdGFs4AEA!16s%2Fg%2F12lrbkxz0?entry=ttu",most_relevant,English (United States)
8070679,result,7,12316463091562504880,ChZDSUhNMG9nS0VJQ0FnSURvcE5tOFFBEAE,t,en,Google,ChIJh-gdr3DRdDERsOLKJe3d7Ko,Van Phuc Hospital,5 years ago,2018-10-06 13:47:43.491748+00,,2.9,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURvcE5tOFFBEAE!2m1!1s0x0:0xaaecdded25cae2b0!3m1!1s2@1:CIHM0ogKEICAgIDopNm8QA%7CCgwI26yh5AUQpcz9lgM%7C?hl=en,,3,ok,0,287,35.Đoàn Thiên,https://www.google.com/maps/contrib/101896029373004648643?hl=en,101896029373004648643,22,https://lh3.googleusercontent.com/a-/ALV-UjX1z1oseIfIkCn3nvC8DJGl-Tf1gxZTCfvvUTe5l4jwCA8ceeAi=s120-c-rp-mo-ba2-br100,,0x0:0xaaecdded25cae2b0,2024-05-06 06:30:52.930339+00,"https://www.google.com/maps/place/Van+Phuc+Hospital/@11.0042176,106.6227598,15z/data=!4m12!1m2!2m1!1zYuG7h25oIHZp4buHbiBiw6xuaCBkxrDGoW5n!3m8!1s0x3174d170af1de887:0xaaecdded25cae2b0!8m2!3d11.0042176!4d106.6418142!9m1!1b1!15sChti4buHbmggdmnhu4duIGLDrG5oIGTGsMahbmeSARBnZW5lcmFsX2hvc3BpdGFs4AEA!16s%2Fg%2F12lrbkxz0?entry=ttu",most_relevant,English (United States)
8070683,result,8,12316463091562504880,ChdDSUhNMG9nS0VJQ0FnSUN3b0lIOHdnRRAB,t,en,Google,ChIJh-gdr3DRdDERsOLKJe3d7Ko,Van Phuc Hospital,6 years ago,2017-06-06 09:56:07.559+00,,2.9,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUN3b0lIOHdnRRAB!2m1!1s0x0:0xaaecdded25cae2b0!3m1!1s2@1:CIHM0ogKEICAgICwoIH8wgE%7CCgsIvfjZyQUQgO3mQQ%7C?hl=en,,5,Ok,0,287,Hero gaming,https://www.google.com/maps/contrib/110458399974961987365?hl=en,110458399974961987365,20,https://lh3.googleusercontent.com/a-/ALV-UjUBVIGXc8BkHkaZtIjenri9EbqYlT1dbwOVhSFQmOBOfahzfQA=s120-c-rp-mo-ba3-br100,,0x0:0xaaecdded25cae2b0,2024-05-06 06:30:53.655307+00,"https://www.google.com/maps/place/Van+Phuc+Hospital/@11.0042176,106.6227598,15z/data=!4m12!1m2!2m1!1zYuG7h25oIHZp4buHbiBiw6xuaCBkxrDGoW5n!3m8!1s0x3174d170af1de887:0xaaecdded25cae2b0!8m2!3d11.0042176!4d106.6418142!9m1!1b1!15sChti4buHbmggdmnhu4duIGLDrG5oIGTGsMahbmeSARBnZW5lcmFsX2hvc3BpdGFs4AEA!16s%2Fg%2F12lrbkxz0?entry=ttu",most_relevant,English (United States)
8070686,result,9,12316463091562504880,ChZDSUhNMG9nS0VJQ0FnSUNRMGR1Mk1BEAE,t,en,Google,ChIJh-gdr3DRdDERsOLKJe3d7Ko,Van Phuc Hospital,7 years ago,2016-09-09 01:45:41.92+00,,2.9,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNRMGR1Mk1BEAE!2m1!1s0x0:0xaaecdded25cae2b0!3m1!1s2@1:CIHM0ogKEICAgICQ0du2MA%7CCgwIzKjIvgUQgLbu-QE%7C?hl=en,,5,ok,0,287,Minhphu Tran,https://www.google.com/maps/contrib/101445653173365113091?hl=en,101445653173365113091,175,https://lh3.googleusercontent.com/a-/ALV-UjUwZ3qnhf2UM2W3m9APTTNFImk-QMm1ImNz9GPDMY5cn0aDlWRn=s120-c-rp-mo-ba4-br100,,0x0:0xaaecdded25cae2b0,2024-05-06 06:30:54.298842+00,"https://www.google.com/maps/place/Van+Phuc+Hospital/@11.0042176,106.6227598,15z/data=!4m12!1m2!2m1!1zYuG7h25oIHZp4buHbiBiw6xuaCBkxrDGoW5n!3m8!1s0x3174d170af1de887:0xaaecdded25cae2b0!8m2!3d11.0042176!4d106.6418142!9m1!1b1!15sChti4buHbmggdmnhu4duIGLDrG5oIGTGsMahbmeSARBnZW5lcmFsX2hvc3BpdGFs4AEA!16s%2Fg%2F12lrbkxz0?entry=ttu",most_relevant,English (United States)
8070688,result,10,12316463091562504880,ChZDSUhNMG9nS0VJQ0FnSUNqZy1YMllREAE,f,vi,Google,ChIJh-gdr3DRdDERsOLKJe3d7Ko,Van Phuc Hospital,a week ago,2024-04-25 03:26:18.461227+00,"https://lh5.googleusercontent.com/p/AF1QipOSJWT9sTs7-KUt-FEq5rPyAFUzfvCwLPCVgYFA, https://lh5.googleusercontent.com/p/AF1QipOV1n2wP2sjYmuFi7SQfS6lPLhSd5O-bL1cWI7B, https://lh5.googleusercontent.com/p/AF1QipPuiYQtj8ekxaKJnRl4ZIZp6VvvUw8Fib6yUPIm, https://lh5.googleusercontent.com/p/AF1QipNLn7BBwAgfrH4_u1qKZwawC9zmqJwME0EvQ_hM, https://lh5.googleusercontent.com/p/AF1QipN5C5u1uSGXoAdwEcyiDLiEjhPmm9EWiUjw5uUJ, https://lh5.googleusercontent.com/p/AF1QipOyZv1whjfN2yYMZwaAu8Ewozn0u6wRdGEI5ipK, https://lh5.googleusercontent.com/p/AF1QipOTTuyD0YP9uTM1JRJNuSONOPGvihckx2Dhz9Fo, https://lh5.googleusercontent.com/p/AF1QipNjLUjNTMYQpchqkPSP-UhK9PXKwcpJN-vN9xVE, https://lh5.googleusercontent.com/p/AF1QipPLWy66kb-pQsT7lJMOsNseoGar6FUsFdgTrWDq",2.9,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNqZy1YMllREAE!2m1!1s0x0:0xaaecdded25cae2b0!3m1!1s2@1:CIHM0ogKEICAgICjg-X2YQ%7CCgwI2pqnsQYQ-If32wE%7C?hl=en,,5,"Formerly Van Phuc 1 Hospital, now Hoan My Binh Duong Hospital belongs to Hoan My Medical Group, a suitable place to choose peaceful birth packages for your wife and children. The room is clean, airy, and has all the amenities like a hotel. Thank you to the team on duty on the night of April 21, Obstetrics Department, Dr. Ho Van Cuong and the nursing midwives, anesthesia and resuscitation department, thank you to the hospital.",0,287,Trịnh Kiệm,https://www.google.com/maps/contrib/111035917160648305907?hl=en,111035917160648305907,1,https://lh3.googleusercontent.com/a/ACg8ocJkJsW1Nf0CB5qehZceKIpBYrZKH0aPPu_p0Iv4CZ06lps5kQ=s120-c-rp-mo-br100,,0x0:0xaaecdded25cae2b0,2024-05-06 06:30:54.902672+00,"https://www.google.com/maps/place/Van+Phuc+Hospital/@11.0042176,106.6227598,15z/data=!4m12!1m2!2m1!1zYuG7h25oIHZp4buHbiBiw6xuaCBkxrDGoW5n!3m8!1s0x3174d170af1de887:0xaaecdded25cae2b0!8m2!3d11.0042176!4d106.6418142!9m1!1b1!15sChti4buHbmggdmnhu4duIGLDrG5oIGTGsMahbmeSARBnZW5lcmFsX2hvc3BpdGFs4AEA!16s%2Fg%2F12lrbkxz0?entry=ttu",most_relevant,English (United States)
